,date,o3
1359609,2013-03-14,0.053
1359611,2013-03-14,0.053
1359617,2013-03-15,0.057
1359619,2013-03-15,0.057
1359625,2013-03-16,0.052
1359627,2013-03-16,0.052
1359633,2013-03-17,0.061
1359635,2013-03-17,0.061
1359641,2013-03-18,0.043
1359643,2013-03-18,0.043
1359649,2013-03-19,0.053
1359651,2013-03-19,0.053
1359657,2013-03-20,0.052
1359659,2013-03-20,0.052
1359665,2013-03-21,0.054
1359667,2013-03-21,0.054
1359673,2013-03-22,0.049
1359675,2013-03-22,0.049
1359681,2013-03-23,0.064
1359683,2013-03-23,0.064
1359689,2013-03-24,0.074
1359691,2013-03-24,0.074
1359697,2013-03-25,0.078
1359699,2013-03-25,0.078
1359705,2013-03-26,0.062
1359707,2013-03-26,0.062
1359713,2013-03-27,0.052
1359715,2013-03-27,0.052
1359721,2013-03-28,0.046
1359723,2013-03-28,0.046
1359729,2013-03-29,0.044
1359731,2013-03-29,0.044
1359737,2013-03-30,0.045
1359739,2013-03-30,0.045
1359745,2013-03-31,0.034
1359747,2013-03-31,0.034
1359753,2013-04-01,0.04
1359755,2013-04-01,0.04
1359761,2013-04-02,0.047
1359763,2013-04-02,0.047
1359769,2013-04-03,0.055
1359771,2013-04-03,0.055
1359777,2013-04-04,0.055
1359779,2013-04-04,0.055
1359785,2013-04-05,0.038
1359787,2013-04-05,0.038
1359793,2013-04-06,0.056
1359795,2013-04-06,0.056
1359801,2013-04-07,0.058
1359803,2013-04-07,0.058
1359809,2013-04-08,0.048
1359811,2013-04-08,0.048
1359817,2013-04-09,0.052
1359819,2013-04-09,0.052
1359825,2013-04-10,0.056
1359827,2013-04-10,0.056
1359833,2013-04-11,0.056
1359835,2013-04-11,0.056
1359841,2013-04-12,0.05
1359843,2013-04-12,0.05
1359849,2013-04-13,0.055
1359851,2013-04-13,0.055
1359857,2013-04-14,0.042
1359859,2013-04-14,0.042
1359865,2013-04-15,0.047
1359867,2013-04-15,0.047
1359873,2013-04-16,0.052
1359875,2013-04-16,0.052
1359881,2013-04-17,0.048
1359883,2013-04-17,0.048
1359889,2013-04-18,0.052
1359891,2013-04-18,0.052
1359897,2013-04-19,0.058
1359899,2013-04-19,0.058
1359905,2013-04-20,0.075
1359907,2013-04-20,0.075
1359913,2013-04-21,0.08
1359915,2013-04-21,0.08
1359921,2013-04-22,0.063
1359923,2013-04-22,0.063
1359929,2013-04-23,0.053
1359931,2013-04-23,0.053
1359937,2013-05-24,0.056
1359939,2013-05-24,0.056
1359945,2013-05-25,0.069
1359947,2013-05-25,0.069
1359953,2013-05-26,0.058
1359955,2013-05-26,0.058
1359961,2013-05-27,0.059
1359963,2013-05-27,0.059
1359969,2013-05-28,0.048
1359971,2013-05-28,0.048
1359977,2013-05-29,0.06
1359979,2013-05-29,0.06
1359985,2013-05-30,0.054
1359987,2013-05-30,0.054
1359993,2013-05-31,0.064
1359995,2013-05-31,0.064
1360001,2013-06-01,0.103
1360003,2013-06-01,0.103
1360009,2013-06-02,0.067
1360011,2013-06-02,0.067
1360017,2013-06-03,0.064
1360019,2013-06-03,0.064
1360025,2013-06-04,0.058
1360027,2013-06-04,0.058
1360033,2013-06-05,0.046
1360035,2013-06-05,0.046
1360041,2013-06-06,0.06
1360043,2013-06-06,0.06
1360049,2013-06-07,0.071
1360051,2013-06-07,0.071
1360057,2013-06-08,0.069
1360059,2013-06-08,0.069
1360065,2013-06-09,0.066
1360067,2013-06-09,0.066
1360073,2013-06-10,0.057
1360075,2013-06-10,0.057
1360081,2013-06-11,0.063
1360083,2013-06-11,0.063
1360089,2013-06-12,0.055
1360091,2013-06-12,0.055
1360097,2013-06-13,0.07
1360099,2013-06-13,0.07
1360105,2013-06-14,0.07
1360107,2013-06-14,0.07
1360113,2013-06-15,0.067
1360115,2013-06-15,0.067
1360121,2013-06-16,0.077
1360123,2013-06-16,0.077
1360129,2013-06-17,0.081
1360131,2013-06-17,0.081
1360137,2013-06-18,0.067
1360139,2013-06-18,0.067
1360145,2013-06-19,0.06
1360147,2013-06-19,0.06
1360153,2013-06-20,0.068
1360155,2013-06-20,0.068
1360161,2013-06-21,0.068
1360163,2013-06-21,0.068
1360169,2013-06-22,0.068
1360171,2013-06-22,0.068
1360177,2013-06-23,0.058
1360179,2013-06-23,0.058
1360185,2013-06-24,0.047
1360187,2013-06-24,0.047
1360193,2013-06-25,0.049
1360195,2013-06-25,0.049
1360201,2013-06-26,0.07
1360203,2013-06-26,0.07
1360209,2013-06-27,0.058
1360211,2013-06-27,0.058
1360217,2013-06-28,0.064
1360219,2013-06-28,0.064
1360225,2013-06-29,0.103
1360227,2013-06-29,0.103
1360233,2013-06-30,0.082
1360235,2013-06-30,0.082
1360241,2013-07-01,0.067
1360243,2013-07-01,0.067
1360249,2013-07-02,0.056
1360251,2013-07-02,0.056
1360257,2013-07-03,0.055
1360259,2013-07-03,0.055
1360265,2013-07-04,0.061
1360267,2013-07-04,0.061
1360273,2013-07-05,0.051
1360275,2013-07-05,0.051
1360281,2013-07-06,0.063
1360283,2013-07-06,0.063
1360289,2013-07-07,0.015
1360291,2013-07-07,0.015
1360297,2013-07-09,0.075
1360299,2013-07-09,0.075
1360305,2013-07-10,0.039
1360307,2013-07-10,0.039
1360313,2013-07-11,0.022
1360315,2013-07-11,0.022
1360321,2013-07-12,0.057
1360323,2013-07-12,0.057
1360329,2013-07-13,0.076
1360331,2013-07-13,0.076
1360337,2013-07-14,0.077
1360339,2013-07-14,0.077
1360345,2013-07-15,0.072
1360347,2013-07-15,0.072
1360353,2013-07-16,0.057
1360355,2013-07-16,0.057
1360361,2013-07-17,0.067
1360363,2013-07-17,0.067
1360369,2013-07-18,0.067
1360371,2013-07-18,0.067
1360377,2013-07-19,0.068
1360379,2013-07-19,0.068
1360385,2013-07-20,0.044
1360387,2013-07-20,0.044
1360393,2013-07-21,0.034
1360395,2013-07-21,0.034
1360401,2013-07-22,0.06
1360403,2013-07-22,0.06
1360409,2013-07-23,0.054
1360411,2013-07-23,0.054
1360417,2013-07-24,0.058
1360419,2013-07-24,0.058
1360425,2013-07-25,0.067
1360427,2013-07-25,0.067
1360433,2013-07-26,0.045
1360435,2013-07-26,0.045
1360441,2013-07-27,0.076
1360443,2013-07-27,0.076
1360449,2013-07-28,0.057
1360451,2013-07-28,0.057
1360457,2013-07-29,0.06
1360459,2013-07-29,0.06
1360465,2013-07-30,0.042
1360467,2013-07-30,0.042
1360473,2013-07-31,0.055
1360475,2013-07-31,0.055
1360481,2013-08-01,0.066
1360483,2013-08-01,0.066
1360489,2013-08-02,0.078
1360491,2013-08-02,0.078
1360497,2013-08-03,0.074
